Problem,NumCritics,SuccessCount,FailureCount,DivergenceCount,SuccessIterations
1,1,3,0,0,3
2,1,3,0,0,4
3,1,3,0,0,4
4,1,3,0,0,12
5,1,3,0,0,16
6,1,3,0,0,22
7,1,3,0,0,4
8,1,3,0,0,4
1,3,3,0,0,3
2,3,3,0,0,3
3,3,3,0,0,4
4,3,3,0,0,23
5,3,3,0,0,16
6,3,3,0,0,5
7,3,3,0,0,3
8,3,3,0,0,5
1,5,3,0,0,3
2,5,3,0,0,3
3,5,3,0,0,19
4,5,3,0,0,23
5,5,2,0,1,7
6,5,3,0,0,4
7,5,3,0,0,3
8,5,3,0,0,4
