Problem,NumCritics,SuccessCount,FailureCount,DivergenceCount,SuccessIterations
1,1,3,0,0,3
2,1,3,0,0,3
3,1,3,0,0,3
4,1,3,0,0,14
5,1,3,0,0,9
6,1,3,0,0,7
7,1,3,0,0,3
8,1,3,0,0,5
1,3,3,0,0,16
2,3,3,0,0,5
3,3,3,0,0,6
4,3,3,0,0,22
5,3,3,0,0,17
6,3,2,0,1,6
7,3,3,0,0,3
8,3,3,0,0,7
1,5,3,0,0,4
2,5,3,0,0,13
3,5,2,0,1,3
4,5,3,0,0,11
5,5,3,0,0,12
6,5,1,0,2,1
7,5,3,0,0,3
8,5,3,0,0,3

